"plan_name", "company","adult" ,"young_adult_age_25", "young_adult_age_24", "young_adult_age_23", "young_adult_age_22", "young_adult_age_21", "young_adult_age_20", "young_adult_age_19", "young_adult_age_18", "child_one", "child_two", "child_three", "child_four", "newborn","date"
"Level 1 Hospital","ILH","952.6","952.60","837.2","737.6","645.3","553.1","476.2","476.2","476.2","231.4","231.4","231.4","59.2","0","2018-01-01"
"Level 2 Complete Health","ILH","3439.2","3439.20","3074.9","2711","2347.1","1983.2","1719.2","1719.2","1719.2","605.5","605.5","605.5","118.4","0","2018-01-01"
"Level 2 Family Health","ILH","2294.7","2294.70","2045","1795.5","1546","1296.6","1147.1","1147.1","1147.1","379","379","379","118.4","0","2018-01-01"
"Level 2 Health Excess","ILH","1673.5","1673.50","1486","1298.6","1111.2","923.9","836.6","836.6","836.6","389.1","354.2","389.1","106.6","0","2018-01-01"
"Level 2 Hospital","ILH","3047.4","3047.40","2722.3","2397.6","2072.8","1748.1","1523.4","1523.4","1523.4","600.1","600.1","600.1","118.4","0","2018-01-01"
"Level 2 Hospital Nurses and Teachers","ILH","3047.4","3047.40","2722.3","2397.6","2072.8","1748.1","1523.4","1523.4","1523.4","600.1","600.1","600.1","118.4","0","2018-01-01"
"me plan level 1","ILH","1075.9","1075.90","948.2","820.6","714.4","612.4","537.8","537.8","537.8","499.7","499.7","499.7","59.2","0","2018-01-01"
"Nurses and Teachers Choice","ILH","2352.2","2352.20","2096.7","1841.5","1586.3","1331.1","1175.8","1175.8","1175.8","638.6","638.6","638.6","118.4","0","2018-01-01"
"Level 1 Health Cover","ILH","973.6","973.60","856.1","751","657.1","563.2","486.7","486.7","486.7","231.4","231.4","231.4","59.2","0","2018-01-01"
"we plan level 1","ILH","1229.6","1229.60","1086.5","943.5","800.6","686.1","614.6","614.6","614.6","293.9","293.9","293.9","59.2","0","2018-01-01"
"Optimise Silver","ILH","3827.7","3827.70","3424.5","3021.7","2619","2216.2","1913.4","1913.4","1913.4","719.3","719.3","719.3","118.4","0","2018-01-01"
"Optimise Gold","ILH","5011.9","5011.90","4490.2","3969","3447.8","2926.6","2505.4","2505.4","2505.4","670.1","670.1","670.1","118.4","0","2018-01-01"
"Optimise Platinum","ILH","6167.8","6167.80","5530.4","4893.6","4256.8","3620","3083.2","3083.2","3083.2","637.4","637.4","637.4","118.4","0","2018-01-01"
"Health Plan 01","ILH","1372","1372.00","1214.6","1057.4","900.2","754.4","685.8","685.8","685.8","386","386","386","118.4","0","2018-01-01"
"Health Plan 02","ILH","2250.2","2250.20","2005","1759.9","1514.9","1269.9","1124.9","1124.9","1124.9","691.5","691.5","691.5","118.4","0","2018-01-01"
"Health Plan 03","ILH","1916.1","1916.10","1704.2","1492.6","1281","1069.4","957.8","957.8","957.8","677.2","677.2","677.2","118.4","0","2018-01-01"
"Health Plan 04","ILH","5728","5728.00","5134.6","4541.8","3949","3356.2","2863.4","2863.4","2863.4","2020.4","2020.4","2020.4","2020.4","0","2018-01-01"
"Health Plan 05","ILH","1951.7","1951.70","1736.3","1521.1","1306","1090.8","975.6","975.6","975.6","663.9","663.9","663.9","118.4","0","2018-01-01"
"Health Plan 06","ILH","2075.4","2075.40","1847.6","1620.1","1392.6","1165","1037.5","1037.5","1037.5","686","686","686","118.4","0","2018-01-01"
"Health Plan 07","ILH","1750.7","1750.70","1555.4","1360.3","1165.3","970.2","875.1","875.1","875.1","572.9","572.9","572.9","118.4","0","2018-01-01"
"Health Plan 08","ILH","2329.6","2329.60","2076.4","1823.5","1570.5","1317.5","1164.6","1164.6","1164.6","763.5","763.5","763.5","118.4","0","2018-01-01"
"Health Plan 09","ILH","4734","4734.00","4240.1","3746.7","3253.3","2759.9","2366.5","2366.5","2366.5","1465.9","1465.9","1465.9","118.4","0","2018-01-01"
"Health Plan 10","ILH","2156","2156.00","1920.2","1684.6","1449","1213.4","1077.8","1077.8","1077.8","692.3","692.3","692.3","118.4","0","2018-01-01"
"Health Plan 13","ILH","1637.7","1637.70","1453.8","1270","1086.2","902.4","818.7","818.7","818.7","445.9","445.9","445.9","118.4","0","2018-01-01"
"Health Plan 16","ILH","1846","1846.00","1641.2","1436.6","1232","1027.4","922.8","922.8","922.8","610.5","610.5","610.5","118.4","0","2018-01-01"
"Health Plan 16.1","ILH","1597.9","1597.90","1417.9","1238.2","1058.4","878.6","798.8","798.8","798.8","491.6","491.6","491.6","118.4","0","2018-01-01"
"Health Plan 17","ILH","1393.3","1393.30","1233.8","1074.5","915.1","764.6","696.5","696.5","696.5","397.9","397.9","397.9","118.4","0","2018-01-01"
"Health Plan 18","ILH","1473.7","1473.70","1306.1","1138.8","971.4","804","736.7","736.7","736.7","471.9","471.9","471.9","118.4","0","2018-01-01"
"Health Plan 19","ILH","1587.9","1587.90","1408.9","1230.1","1051.3","872.5","793.8","793.8","793.8","551.2","551.2","551.2","118.4","0","2018-01-01"
"Health Plan 20","ILH","1261.7","1261.70","1115.4","969.2","823","701.5","630.7","630.7","630.7","504","504","504","118.4","0","2018-01-01"
"Value Focus","ILH","745.1","745.10","745.1","745.1","745.1","745.1","745.1","745.1","745.1","274.7","274.7","274.7","59.2","0","2018-01-01"
"Day2Day Focus","ILH","906.1","906.10","796.3","707.8","619.3","530.8","452.9","452.9","452.9","295","295","295","59.2","0","2018-01-01"
"Day2Day Focus.1","ILH","796.4","796.40","716.7","637","557.4","477.8","398.1","398.1","398.1","265.5","265.5","265.5","59.2","0","2018-01-01"
"First Focus","ILH","1243.2","1243.20","1098.8","954.4","810.1","692.6","621.5","621.5","621.5","344","344","344","118.4","0","2018-01-01"
"Future Focus","ILH","1397.6","1397.60","1237.7","1077.9","918.2","766.7","698.6","698.6","698.6","326","326","326","118.4","0","2018-01-01"
"Family Focus","ILH","1540.8","1540.80","1366.5","1192.4","1018.4","844.3","770.2","770.2","770.2","257.1","257.1","257.1","118.4","0","2018-01-01"
"Hospital Focus","ILH","2099.1","2099.10","1868.9","1639","1409.1","1179.2","1049.3","1049.3","1049.3","585.6","376.4","585.6","106.6","0","2018-01-01"
"Level 2 Hospital Excess","ILH","2294.7","2294.70","2045","1795.5","1546","1296.6","1147.1","1147.1","1147.1","379","379","379","118.4","0","2018-01-01"
"Be Fit 1","ILH","1288.3","1288.30","1139.3","990.5","841.7","714.3","644","644","644","409.7","409.7","409.7","118.4","0","2018-01-01"
"Be Fit 2","ILH","1565.6","1565.60","1388.9","1212.3","1035.8","859.2","782.6","782.6","782.6","495.1","495.1","495.1","118.4","0","2018-01-01"
"Be Fit 2.1","ILH","1565.6","1565.60","1388.9","1212.3","1035.8","859.2","782.6","782.6","782.6","495.1","495.1","495.1","118.4","0","2018-01-01"
"Be Fit 3","ILH","1579.1","1579.10","1401","1223.1","1045.2","867.3","789.4","789.4","789.4","499.7","499.7","499.7","118.4","0","2018-01-01"
"First Focus 300","ILH","1149.1","1149.10","1014.1","879.2","755.4","647.5","574.4","574.4","574.4","329.7","329.7","329.7","118.4","0","2018-01-01"
"First Focus 500","ILH","1018.5","1018.50","896.5","779.7","682.3","584.8","509.1","509.1","509.1","334.9","334.9","334.9","118.4","0","2018-01-01"
"Future Focus 300","ILH","1171.3","1171.30","1034","896.9","767.8","658.1","585.5","585.5","585.5","328.8","328.8","328.8","118.4","0","2018-01-01"
"Future Focus 500","ILH","1066.4","1066.40","939.6","813","709.1","607.8","533","533","533","333.2","333.2","333.2","118.4","0","2018-01-01"
"Select","ILH","620.9","620.90","620.9","620.9","620.9","620.9","620.9","620.9","620.9","215.5","215.5","215.5","59.2","0","2018-01-01"
"Select with Day 2 Day pack","ILH","692.9","692.90","692.9","692.9","692.9","692.9","692.9","692.9","692.9","275.5","275.5","275.5","59.2","0","2018-01-01"
"Select with Emergency Access pack","ILH","692.9","692.90","692.9","692.9","692.9","692.9","692.9","692.9","692.9","275.5","275.5","275.5","59.2","0","2018-01-01"
"Select with Day 2 Day and Emergency pack","ILH","764.9","764.90","764.9","764.9","764.9","764.9","764.9","764.9","764.9","335.5","335.5","335.5","59.2","0","2018-01-01"
"Select Plus","ILH","952.6","952.60","837.2","737.6","645.3","553.1","476.2","476.2","476.2","180","180","180","118.4","0","2018-01-01"
"Select Plus with Day 2 Day pack","ILH","1042.6","1042.60","918.2","795.1","695.7","596.3","521.2","521.2","521.2","240","240","240","118.4","0","2018-01-01"
"Select Plus with Emergency Access pack","ILH","1042.6","1042.60","918.2","795.1","695.7","596.3","521.2","521.2","521.2","240","240","240","118.4","0","2018-01-01"
"Select Plus with Day 2 Day & Emergency p","ILH","1132.6","1132.60","999.2","865.9","746.1","639.5","566.2","566.2","566.2","300","300","300","118.4","0","2018-01-01"
"Select More","ILH","1127.8","1127.80","994.9","862.1","743.4","637.2","563.8","563.8","563.8","282.7","282.7","282.7","118.4","0","2018-01-01"
"Select More with Day 2 Day pack","ILH","1217.8","1217.80","1075.9","934.1","793.8","680.4","608.8","608.8","608.8","342.7","342.7","342.7","118.4","0","2018-01-01"
"Select More with Emergency Access pack","ILH","1217.8","1217.80","1075.9","934.1","793.8","680.4","608.8","608.8","608.8","342.7","342.7","342.7","118.4","0","2018-01-01"
"Select More with Day 2 Day & Emergency p","ILH","1307.8","1307.80","1156.8","1006.1","855.3","723.6","653.7","653.7","653.7","402.7","402.7","402.7","118.4","0","2018-01-01"
"Select Starter","ILH","540","540.00","540","540","540","540","540","540","540","242.7","242.7","242.7","59.2","0","2018-01-01"
"Teacher Complete","ILH","1607.7","1607.70","1426.7","1246","1065.2","884.4","803.7","803.7","803.7","435.7","435.7","435.7","118.4","0","2018-01-01"
"Level 2 Health Excess 150","ILH","1437.4","1437.40","1273.5","1109.7","946","785.8","718.5","718.5","718.5","356.4","324.3","356.4","118.4","0","2018-01-01"
"Level 2 Health Excess 500","ILH","1093.6","1093.60","964.1","834.7","724.3","620.8","546.6","546.6","546.6","347","317.6","347","106.6","0","2018-01-01"
"Me Plan Level 1 with Day to Day 50","ILH","1503.6","1503.60","1333.1","1162.7","992.4","822","751.6","751.6","751.6","683.1","683.1","683.1","205.9","146.7","2018-01-01"
"We Plan Level 1 with Day to Day 50","ILH","1657.3","1657.30","1471.4","1285.6","1099.9","914.2","828.4","828.4","828.4","450.7","450.7","450.7","59.2","0","2018-01-01"
"Optimise Silver with Day to Day 50","ILH","4255.4","4255.40","3809.4","3363.8","2918.3","2472.8","2127.2","2127.2","2127.2","902.6","902.6","902.6","118.4","0","2018-01-01"
"We Plan Level 1 with Day to Day A","ILH","1491.6","1491.60","1322.2","1153.1","983.9","814.8","745.6","745.6","745.6","398.2","398.2","398.2","59.2","0","2018-01-01"
"Optimise Silver with Day to Day A","ILH","4089.7","4089.70","3660.3","3231.3","2802.3","2373.4","2044.4","2044.4","2044.4","849.7","849.7","849.7","118.4","0","2018-01-01"
"Optimise Gold with Day to Day A","ILH","5273.8","5273.80","4725.9","4178.5","3631.1","3083.8","2636.4","2636.4","2636.4","800.6","800.6","800.6","118.4","0","2018-01-01"
"Optimise Platinum with Day to Day A","ILH","6429.8","6429.80","5766.1","5103.1","4440.2","3777.2","3214.2","3214.2","3214.2","767.8","767.8","767.8","118.4","0","2018-01-01"
"Optimise Gold with Day to Day","ILH","5439.5","5439.50","4875","4311.1","3747.1","3183.2","2719.2","2719.2","2719.2","853.5","853.5","853.5","118.4","0","2018-01-01"
"Optimise Platinum with Day to Day","ILH","6595.4","6595.40","5915.2","5235.7","4556.1","3876.6","3297","3297","3297","820.8","820.8","820.8","118.4","0","2018-01-01"
"Me Plan Level 1 with Day to Day Me","ILH","1307.7","1307.70","1156.8","1006","855.2","723.6","653.7","653.7","653.7","615.6","615.6","615.6","151.9","92.7","2018-01-01"
"Level 2 Family Health with Day to Day","ILH","2577.7","2577.70","2299.7","2021.9","1744.1","1466.4","1288.6","1288.6","1288.6","577.2","577.2","577.2","118.4","0","2018-01-01"
"Level 2 Health Excess with Day to Day","ILH","1939.8","1939.80","1725.6","1511.6","1297.7","1083.7","969.7","969.7","969.7","578.6","534.9","578.6","106.6","0","2018-01-01"
"Level 2 Hospital with Day to Day","ILH","3373.3","3373.30","3015.6","2658.2","2300.9","1943.6","1686.3","1686.3","1686.3","818.3","818.3","818.3","118.4","0","2018-01-01"
"Level 2 Hospital Nurses and Teachers wit","ILH","3373.3","3373.30","3015.6","2658.2","2300.9","1943.6","1686.3","1686.3","1686.3","818.3","818.3","818.3","118.4","0","2018-01-01"
"Net One ILH","ILH","638.9","607.00","543.1","479.2","415.3","351.4","319.4","319.4","319.4","199","199","199","199","0","2019-01-01"
"Nurture Plan ILH","ILH","1019.8","958.80","836.9","731.9","634.3","536.7","509.8","509.8","509.8","179.2","179.2","179.2","179.2","0","2019-01-01"
"Nurture Plus ILH","ILH","1205.8","1135.50","994.9","854.3","731","618.5","602.7","602.7","602.7","224","224","224","224","0","2019-01-01"
"Better Ultra ILH","ILH","1360","1282.00","1126","970","814","686.4","679.8","679.8","679.8","320","320","320","320","0","2019-01-01"
"Best Smart ILH","ILH","1372.5","1293.90","1136.6","979.4","822.1","691.9","686.1","686.1","686.1","328","328","328","328","0","2019-01-01"
"Best Ultimate Active ILH","ILH","1731.3","1634.70","1441.6","1248.5","1055.3","862.2","865.4","865.4","865.4","346.4","346.4","346.4","346.4","0","2019-01-01"
"Best Ultimate 2 ILH","ILH","1818.2","1717.20","1515.4","1313.6","1111.8","910","908.9","908.9","908.9","350.7","350.7","350.7","350.7","0","2019-01-01"
"Business Plan Extra","ILH","2624","2624.00","2341.3","2058.9","1776.5","1494.1","1311.7","1311.7","1311.7","828.5","828.5","828.5","118.4","0","2019-01-01"
"Business Plan Executive","ILH","5523.9","5523.90","4951","4378.6","3806.2","3233.8","2761.4","2761.4","2761.4","1669.3","1669.3","1669.3","118.4","0","2019-01-01"
"Business Plan Choice","ILH","2229.9","2229.90","1986.7","1743.7","1500.7","1257.7","1114.7","1114.7","1114.7","766.6","766.6","766.6","118.4","0","2019-01-01"
"Business Plan Complete","ILH","2814.7","2814.70","2513","2211.5","1910","1608.5","1407.1","1407.1","1407.1","932.5","932.5","932.5","118.4","0","2019-01-01"
"Business Plan Hospital","ILH","1799.4","1799.40","1599.2","1399.3","1199.4","999.4","899.5","899.5","899.5","627","627","627","118.4","0","2019-01-01"
"Business Plan Hospital +","ILH","1373","1373.00","1215.5","1058.2","900.9","754.9","686.3","686.3","686.3","386.8","386.8","386.8","118.4","0","2019-01-01"
"Business Plan Plus","ILH","2140.8","2140.80","1906.5","1672.4","1438.3","1204.2","1070.2","1070.2","1070.2","766.6","766.6","766.6","118.4","0","2019-01-01"
"Business Plan Select","ILH","2177.8","2177.80","1939.8","1702","1464.2","1226.4","1088.6","1088.6","1088.6","739.7","739.7","739.7","118.4","0","2019-01-01"
"Level 1 Everyday","ILH","1499.5","1499.50","1329.4","1159.4","989.5","819.5","749.6","749.6","749.6","492.8","492.8","492.8","47.2","0","2019-01-01"
"Family Value Plan","ILH","1492.4","1492.40","1323","1153.8","984.6","815.3","746.1","746.1","746.1","359.4","295.9","359.4","106.6","0","2019-01-01"
"Health Starter","ILH","895.9","895.90","895.9","895.9","895.9","895.9","895.9","895.9","895.9","305","305","305","47.2","0","2019-01-01"
"Health Value Plan","ILH","1331.9","1331.90","1178.6","1025.4","872.2","735.2","665.8","665.8","665.8","354.4","323.3","354.4","106.6","0","2019-01-01"
"Level 1 Hospital","ILH","952.6","952.60","837.2","737.6","645.3","553.1","476.2","476.2","476.2","231.4","231.4","231.4","47.2","0","2019-01-01"
"Level 2 Complete Health","ILH","3439.2","3439.20","3074.9","2711","2347.1","1983.2","1719.2","1719.2","1719.2","605.5","605.5","605.5","118.4","0","2019-01-01"
"Level 2 Family Health","ILH","2294.7","2294.70","2045","1795.5","1546","1296.6","1147.1","1147.1","1147.1","379","379","379","118.4","0","2019-01-01"
"Level 2 Health Excess","ILH","1673.5","1673.50","1486","1298.6","1111.2","923.9","836.6","836.6","836.6","389.1","354.2","389.1","106.6","0","2019-01-01"
"Level 2 Hospital","ILH","3047.4","3047.40","2722.3","2397.6","2072.8","1748.1","1523.4","1523.4","1523.4","600.1","600.1","600.1","118.4","0","2019-01-01"
"Level 2 Hospital Nurses and Teachers","ILH","3047.4","3047.40","2722.3","2397.6","2072.8","1748.1","1523.4","1523.4","1523.4","600.1","600.1","600.1","118.4","0","2019-01-01"
"me plan level 1","ILH","1075.9","1075.90","948.2","820.6","714.4","612.4","537.8","537.8","537.8","499.7","499.7","499.7","47.2","0","2019-01-01"
"Nurses and Teachers Choice","ILH","2352.2","2352.20","2096.7","1841.5","1586.3","1331.1","1175.8","1175.8","1175.8","638.6","638.6","638.6","118.4","0","2019-01-01"
"Level 1 Health Cover","ILH","973.6","973.60","856.1","751","657.1","563.2","486.7","486.7","486.7","231.4","231.4","231.4","47.2","0","2019-01-01"
"we plan level 1","ILH","1229.6","1229.60","1086.5","943.5","800.6","686.1","614.6","614.6","614.6","293.9","293.9","293.9","47.2","0","2019-01-01"
"Optimise Silver","ILH","3827.7","3827.70","3424.5","3021.7","2619","2216.2","1913.4","1913.4","1913.4","719.3","719.3","719.3","118.4","0","2019-01-01"
"Optimise Gold","ILH","5011.8","5011.80","4490.1","3969","3447.8","2926.6","2505.4","2505.4","2505.4","670.1","670.1","670.1","118.4","0","2019-01-01"
"Optimise Platinum","ILH","6167.8","6167.80","5530.4","4893.6","4256.8","3620","3083.2","3083.2","3083.2","637.4","637.4","637.4","118.4","0","2019-01-01"
"Health Plan 01","ILH","1372","1372.00","1214.6","1057.4","900.2","754.4","685.8","685.8","685.8","386","386","386","118.4","0","2019-01-01"
"Health Plan 02","ILH","2250.2","2250.20","2005","1759.9","1514.9","1269.9","1124.9","1124.9","1124.9","691.5","691.5","691.5","118.4","0","2019-01-01"
"Health Plan 03","ILH","1916.1","1916.10","1704.2","1492.6","1281","1069.4","957.8","957.8","957.8","677.2","677.2","677.2","118.4","0","2019-01-01"
"Health Plan 04","ILH","5728","5728.00","5134.6","4541.8","3949","3356.2","2863.4","2863.4","2863.4","2020.4","2020.4","2020.4","2020.4","0","2019-01-01"
"Health Plan 05","ILH","1951.7","1951.70","1736.3","1521.1","1306","1090.8","975.6","975.6","975.6","663.9","663.9","663.9","118.4","0","2019-01-01"
"Health Plan 06","ILH","2075.4","2075.40","1847.6","1620.1","1392.6","1165","1037.5","1037.5","1037.5","686","686","686","118.4","0","2019-01-01"
"Health Plan 07","ILH","1750.7","1750.70","1555.4","1360.3","1165.3","970.2","875.1","875.1","875.1","572.9","572.9","572.9","118.4","0","2019-01-01"
"Health Plan 08","ILH","2329.6","2329.60","2076.4","1823.5","1570.5","1317.5","1164.6","1164.6","1164.6","763.5","763.5","763.5","118.4","0","2019-01-01"
"Health Plan 09","ILH","4734","4734.00","4240.1","3746.7","3253.3","2759.9","2366.5","2366.5","2366.5","1465.9","1465.9","1465.9","118.4","0","2019-01-01"
"Health Plan 10","ILH","2156","2156.00","1920.2","1684.6","1449","1213.4","1077.8","1077.8","1077.8","692.3","692.3","692.3","118.4","0","2019-01-01"
"Health Plan 13","ILH","1637.7","1637.70","1453.8","1270","1086.2","902.4","818.7","818.7","818.7","445.9","445.9","445.9","118.4","0","2019-01-01"
"Health Plan 16","ILH","1846","1846.00","1641.2","1436.6","1232","1027.4","922.8","922.8","922.8","610.5","610.5","610.5","118.4","0","2019-01-01"
"Health Plan 16.1","ILH","1597.9","1597.90","1417.9","1238.2","1058.4","878.6","798.8","798.8","798.8","491.6","491.6","491.6","118.4","0","2019-01-01"
"Health Plan 17","ILH","1393.3","1393.30","1233.8","1074.5","915.1","764.6","696.5","696.5","696.5","397.9","397.9","397.9","118.4","0","2019-01-01"
"Health Plan 18","ILH","1473.7","1473.70","1306.1","1138.8","971.4","804","736.7","736.7","736.7","471.9","471.9","471.9","118.4","0","2019-01-01"
"Health Plan 19","ILH","1587.9","1587.90","1408.9","1230.1","1051.3","872.5","793.8","793.8","793.8","551.2","551.2","551.2","118.4","0","2019-01-01"
"Health Plan 20","ILH","1261.7","1261.70","1115.4","969.2","823","701.5","630.7","630.7","630.7","504","504","504","118.4","0","2019-01-01"
"Value Focus","ILH","745.1","745.10","745.1","745.1","745.1","745.1","745.1","745.1","745.1","274.7","274.7","274.7","47.2","0","2019-01-01"
"Day2Day Focus","ILH","796.4","796.40","716.7","637","557.4","477.8","398.1","398.1","398.1","265.5","265.5","265.5","47.2","0","2019-01-01"
"Day2Day Focus.1","ILH","796.4","796.40","716.7","637","557.4","477.8","398.1","398.1","398.1","265.5","265.5","265.5","47.2","0","2019-01-01"
"First Focus","ILH","1243.2","1243.20","1098.8","954.4","810.1","692.6","621.5","621.5","621.5","344","344","344","118.4","0","2019-01-01"
"Future Focus","ILH","1397.6","1397.60","1237.7","1077.9","918.2","766.7","698.6","698.6","698.6","326","326","326","118.4","0","2019-01-01"
"Family Focus","ILH","1540.8","1540.80","1366.5","1192.4","1018.4","844.3","770.2","770.2","770.2","257.1","257.1","257.1","118.4","0","2019-01-01"
"Hospital Focus","ILH","2099.1","2099.10","1868.9","1639","1409.1","1179.2","1049.3","1049.3","1049.3","585.6","376.4","585.6","106.6","0","2019-01-01"
"Level 2 Hospital Excess","ILH","2294.7","2294.70","2045","1795.5","1546","1296.6","1147.1","1147.1","1147.1","379","379","379","118.4","0","2019-01-01"
"Be Fit 1","ILH","1288.3","1288.30","1139.3","990.5","841.7","714.3","644","644","644","409.7","409.7","409.7","118.4","0","2019-01-01"
"Be Fit 2","ILH","1565.6","1565.60","1388.9","1212.3","1035.8","859.2","782.6","782.6","782.6","495.1","495.1","495.1","118.4","0","2019-01-01"
"Be Fit 2.1","ILH","1565.6","1565.60","1388.9","1212.3","1035.8","859.2","782.6","782.6","782.6","495.1","495.1","495.1","118.4","0","2019-01-01"
"Be Fit 3","ILH","1579.1","1579.10","1401","1223.1","1045.2","867.3","789.4","789.4","789.4","499.7","499.7","499.7","118.4","0","2019-01-01"
"First Focus 300","ILH","1149.1","1149.10","1014.1","879.2","755.4","647.5","574.4","574.4","574.4","329.7","329.7","329.7","118.4","0","2019-01-01"
"First Focus 500","ILH","1018.5","1018.50","896.5","779.7","682.3","584.8","509.1","509.1","509.1","334.9","334.9","334.9","118.4","0","2019-01-01"
"Future Focus 300","ILH","1171.3","1171.30","1034","896.9","767.8","658.1","585.5","585.5","585.5","328.8","328.8","328.8","118.4","0","2019-01-01"
"Future Focus 500","ILH","1066.4","1066.40","939.6","813","709.1","607.8","533","533","533","333.2","333.2","333.2","118.4","0","2019-01-01"
"Select More","ILH","1127.8","1127.80","994.9","862.1","743.4","637.2","563.8","563.8","563.8","282.7","282.7","282.7","118.4","0","2019-01-01"
"Select More with Day 2 Day pack","ILH","1217.8","1217.80","1075.9","934.1","793.8","680.4","608.8","608.8","608.8","342.7","342.7","342.7","118.4","0","2019-01-01"
"Select More with Emergency Access pack","ILH","1217.8","1217.80","1075.9","934.1","793.8","680.4","608.8","608.8","608.8","342.7","342.7","342.7","118.4","0","2019-01-01"
"Select More with Day 2 Day & Emergency p","ILH","1307.8","1307.80","1156.8","1006.1","855.3","723.6","653.7","653.7","653.7","402.7","402.7","402.7","118.4","0","2019-01-01"
"Teacher Complete","ILH","1607.7","1607.70","1426.7","1246","1065.2","884.4","803.7","803.7","803.7","435.7","435.7","435.7","118.4","0","2019-01-01"
"Level 2 Health Excess 150","ILH","1437.4","1437.40","1273.5","1109.7","946","785.8","718.5","718.5","718.5","356.4","324.3","356.4","118.4","0","2019-01-01"
"Level 2 Health Excess 500","ILH","1093.6","1093.60","964.1","834.7","724.3","620.8","546.6","546.6","546.6","347","317.6","347","106.6","0","2019-01-01"
"Me Plan Level 1 with Day to Day 50","ILH","1503.6","1503.60","1333.1","1162.7","992.4","822","751.6","751.6","751.6","683.1","683.1","683.1","193.9","0","2019-01-01"
"We Plan Level 1 with Day to Day 50","ILH","1657.3","1657.30","1471.4","1285.6","1099.9","914.2","828.4","828.4","828.4","450.7","450.7","450.7","47.2","0","2019-01-01"
"Optimise Silver with Day to Day 50","ILH","4255.4","4255.40","3809.4","3363.8","2918.3","2472.8","2127.2","2127.2","2127.2","902.6","902.6","902.6","118.4","0","2019-01-01"
"We Plan Level 1 with Day to Day A","ILH","1491.6","1491.60","1322.2","1153.1","983.9","814.8","745.6","745.6","745.6","398.2","398.2","398.2","47.2","0","2019-01-01"
"Optimise Silver with Day to Day A","ILH","4089.7","4089.70","3660.3","3231.3","2802.3","2373.4","2044.4","2044.4","2044.4","849.7","849.7","849.7","118.4","0","2019-01-01"
"Optimise Gold with Day to Day A","ILH","5273.8","5273.80","4725.9","4178.5","3631.1","3083.8","2636.4","2636.4","2636.4","800.6","800.6","800.6","118.4","0","2019-01-01"
"Optimise Platinum with Day to Day A","ILH","6429.8","6429.80","5766.1","5103.1","4440.2","3777.2","3214.2","3214.2","3214.2","767.8","767.8","767.8","118.4","0","2019-01-01"
"Optimise Gold with Day to Day","ILH","5439.5","5439.50","4875","4311.1","3747.1","3183.2","2719.2","2719.2","2719.2","853.5","853.5","853.5","118.4","0","2019-01-01"
"Optimise Platinum with Day to Day","ILH","6595.4","6595.40","5915.2","5235.7","4556.1","3876.6","3297","3297","3297","820.8","820.8","820.8","118.4","0","2019-01-01"
"Me Plan Level 1 with Day to Day Me","ILH","1307.7","1307.70","1156.8","1006","855.2","723.6","653.7","653.7","653.7","615.6","615.6","615.6","139.9","0","2019-01-01"
"Level 2 Family Health with Day to Day","ILH","2577.7","2577.70","2299.7","2021.9","1744.1","1466.4","1288.6","1288.6","1288.6","577.2","577.2","577.2","118.4","0","2019-01-01"
"Level 2 Health Excess with Day to Day","ILH","1939.8","1939.80","1725.6","1511.6","1297.7","1083.7","969.7","969.7","969.7","578.6","534.9","578.6","106.6","0","2019-01-01"
"Level 2 Hospital with Day to Day","ILH","3373.3","3373.30","3015.6","2658.2","2300.9","1943.6","1686.3","1686.3","1686.3","818.3","818.3","818.3","118.4","0","2019-01-01"
"Level 2 Hospital Nurses and Teachers wit","ILH","3373.3","3373.30","3015.6","2658.2","2300.9","1943.6","1686.3","1686.3","1686.3","818.3","818.3","818.3","118.4","0","2019-01-01"
"BeneFit 1","ILH","732.4","732.40","659.1","585.9","512.6","439.4","366.1","366.1","366.1","179.2","179.2","179.2","179.2","0","2019-01-01"
"BeneFit 2","ILH","788.4","788.40","709.4","630.6","551.8","472.9","394.1","394.1","394.1","179.2","179.2","179.2","179.2","0","2019-01-01"
"BeneFit","ILH","899.1","899.10","791.3","703.4","615.4","527.5","449.4","449.4","449.4","179.2","179.2","179.2","179.2","0","2019-01-01"
"Better Select ILH","ILH","1317","1317.00","1165.2","1013.4","861.8","728","658.4","658.4","658.4","385.1","385.1","385.1","385.1","0","2019-01-01"
"Day to Day Most","ILH","158.4","158.40","158.4","158.4","158.4","158.4","158.4","158.4","158.4","79.2","79.2","79.2","79.2","0","2019-01-01"
"Net One ILH","ILH","638.9","607.00","543.1","479.2","415.3","351.4","319.4","319.4","319.4","199","199","199","199","0","2017-06-12"
"Kick-Off Plan ILH","ILH","568.6","540.20","483.4","426.5","369.6","312.8","284.3","284.3","284.3","200","200","200","200","0","2017-06-12"
"Kick-Off Upgrade ILH","ILH","1082.2","1018.10","889.9","769.4","666.8","564.2","541","541","541","400","400","400","400","0","2017-06-12"
"Nurture Plan ILH","ILH","1015.4","954.60","833","729.2","632","534.8","507.6","507.6","507.6","160","160","160","160","0","2017-06-12"
"Nurture Plus ILH","ILH","1193.8","1124.10","984.7","845.3","724.8","613.2","596.7","596.7","596.7","224","224","224","224","0","2017-06-12"
"Net More 100 ILH","ILH","1242.8","1170.70","1026.4","882.1","750.3","634.8","621.3","621.3","621.3","230","230","230","230","0","2017-06-12"
